source,year,cu,outlet,plant,items,ytd_june_,fc_7+5,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,budget,target,vs_fc_7+5,vs_fc_7+5_1,comments
2024_698_219_7521_20231004,2024,698,219,7521,NSHS Services in PE MGK & PE FGK,-14447.218,-42729.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,42729.304,-1,
2024_698_219_7521_20231004,2024,698,219,7521,"Shared equipment ""K662x"" accounts",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,
2024_698_219_7521_20231004,2024,698,219,7521,PMME Depreciation intangible development assets,-334400.0,-668799.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,668799.998,-1,intangible asset & amort.exp. is tranferred to ICH MES(242-7521)
2024_698_219_7521_20231004,2024,698,219,7521,PMME Depreciation w/o intangible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,
2024_698_219_7521_20231004,2024,698,219,7521,PMME Others,-393188.476,-846802.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846802.906,-1,
2024_698_219_7521_20231004,2024,698,219,7521,Delta RACE vs. RACE CTL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2024_698_219_7521_20231004,2024,698,219,7521,PMME Total,-476615.62299999996,-1017570.287,-7601.642,-7918.044,-8047.303,-7295.179999999999,-7310.795,-7794.785,-9889.149000000001,-8027.478999999999,-8367.201000000001,-8212.389,-7830.34,-8729.939,-97024.24600000001,0.0,920546.041,-0.9046510622022516,
2024_698_219_7521_20231004,2024,698,219,7521,Period expenses ICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,
2024_698_219_7521_20231004,2024,698,219,7521,Compensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,
2024_698_219_7521_20231004,2024,698,219,7521,Assessment from Central Functions,-15031.658,-28876.0,-870.865,-744.405,-744.075,-698.838,-740.282,-720.586,-911.212,-756.78,-756.978,-723.584,-734.587,-741.576,-9143.768,,19732.232,-0.683343676409475,
2024_698_219_7521_20231004,2024,698,219,7521,NSHS Services in PE VK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,
2024_698_219_7521_20231004,2024,698,219,7521,NSHS Allocations in PE VK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,
2024_698_219_7521_20231004,2024,698,219,7521,Others (remaining),0.0,0.15599999999903957,-5.2530000000000046,-5.2530000000000046,-5.2530000000000046,-5.2530000000000046,-5.2530000000000046,-5.2530000000000046,-5.2530000000000046,-5.2530000000000046,-5.2530000000000046,-5.2530000000000046,-5.2530000000000046,-5.2530000000000046,-63.03600000000006,,-63.1919999999991,-405.0769230794112,insurance expense
2024_698_219_7521_20231004,2024,698,219,7521,PE distribution,-15031.658,-28875.844,-876.118,-749.658,-749.3280000000001,-704.091,-745.5350000000001,-725.839,-916.465,-762.033,-762.231,-728.837,-739.84,-746.8290000000001,-9206.804,0.0,19669.04,-0.6811589645656764,
2024_698_219_7521_20231004,2024,698,219,7521,Sales & distribution expenses w/o PE distribution,-27782.498000000003,-72487.79000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,72487.79000000001,-1,
2024_698_219_7521_20231004,2024,698,219,7521,"R, D & E  expenses",-429785.06,-599640.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,599640.804,-1,
2024_698_219_7521_20231004,2024,698,219,7521,"Finance, general & administration expenses",-62141.068,-154482.85,-4065.37025,-4065.37025,-4065.37025,-4065.37025,-4065.37025,-4065.37025,-4065.37025,-4065.37025,-4065.37025,-4065.37025,-4065.37025,-4065.37025,-48784.443,,105698.407,-0.6842080334483731,
2024_698_219_7521_20231004,2024,698,219,7521,Total Period Expenses,-1011355.9069999999,-1873057.5750000002,-12543.13025,-12733.07225,-12862.00125,-12064.64125,-12121.70025,-12585.99425,-14870.984250000001,-12854.882249999999,-13194.80225,-13006.596249999999,-12635.55025,-13542.13825,-155015.49300000002,0.0,1718042.0820000002,-0.9172393336600986,
2024_698_219_7521_20231004,2024,698,219,7521,Plant Orignated PMME,-83427.147,-170767.381,-7601.642,-7918.044,-8047.303,-7295.18,-7310.795,-7794.785,-9889.149000000001,-8027.479,-8367.201000000001,-8212.389000000001,-7830.34,-8729.939,-97024.246,0.0,73743.135,-0.43183384653536383,
2024_698_219_7521_20231004,2024,698,219,7521,% of Total Sales,-0.01991655465551162,-0.01727219278290703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007458717447543092,,
2024_698_219_7521_20231004,2024,698,219,7521,"PMME others (Depr, NPF, SHS)",-393188.476,-846802.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846802.906,-1,
2024_698_219_7521_20231004,2024,698,219,7521,% of Total Sales,-0.09386584647526447,-0.08564951313247522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08564951313247522,,
2024_698_219_7521_20231004,2024,698,219,7521,PMME Total,-476615.623,-1017570.287,-7601.642,-7918.044,-8047.303,-7295.18,-7310.795,-7794.785,-9889.149000000001,-8027.479,-8367.201000000001,-8212.389000000001,-7830.34,-8729.939,-97024.246,0.0,920546.041,-0.9046510622022516,
2024_698_219_7521_20231004,2024,698,219,7521,% of Total Sales,-0.11378240113077609,-0.10292170591538226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09310823058001831,,
2024_698_219_7521_20231004,2024,698,219,7521,CF assessments,-98458.805,-199643.381,-8429.36,-8619.302,-8748.231,-7950.871,-8007.93,-8472.224,-10757.214,-8741.112000000001,-9081.032,-8892.826000000001,-8521.78,-9428.367999999999,-105650.25,0.0,93993.131,-0.4708051453005597,
2024_698_219_7521_20231004,2024,698,219,7521,% of Total Sales,-0.02350506090180527,-0.020192843295192064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009506894521624332,,
2024_698_219_7521_20231004,2024,698,219,7521,Check vs Race entry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024_698_242_7311_20231004,2024,698,242,7311,Sales,3123008.246,5702323.424,239616.357,227471.816,250996.446,231479.058,248746.905,215150.191,273171.348,239471.793,196691.446,240463.057,259876.247,193674.384,2816809.048,0.0,-2885514.3759999997,-0.506024327532075,
2024_698_242_7311_20231004,2024,698,242,7311,Assessment from Central Functions (520),-227736.453,-449842.552,-16103.617,-16756.56,-17128.766,-15525.037,-16125.72,-16918.281,-21004.191,-17757.822,-18081.676,-17569.944,-16997.109,-18145.607,-208114.33,,241728.22200000004,-0.5373618412159462,distribution keys for CF: 1.47% vs. 0.65% in 2024
2024_698_242_7311_20231004,2024,698,242,7311,Assessment from FF (520),-9556.179,-24467.427,-1826.495,-1937.11,-1855.04,-1696.496,-1727.404,-1897.376,-2295.549,-1933.784,-2084.464,-1902.576,-1932.294,-1972.555,-23061.143,,1406.2839999999997,-0.05747576155024392,QMPP HC pooling
2024_698_242_7311_20231004,2024,698,242,7311,Compensation (E01-299),-54011.741,-83762.267,-3215.819,-4169.234,-2686.055,-1189.076,-1807.133,-1181.495,-1429.829,-1020.067,-2197.31,-1124.468,-1687.295,-1146.59,-22854.371,,60907.89600000001,-0.7271519525611694,QMPP HC pooling since Apr.2023
2024_698_242_7311_20231004,2024,698,242,7311,Maintenance (E01-320),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,
2024_698_242_7311_20231004,2024,698,242,7311,Product Validation / Requalification after G60,0.0,-64999.998,-2631.943,-2631.943,-2631.943,-2631.943,-2631.943,-2631.943,-2631.943,-2631.943,-2631.943,-2631.943,-2631.943,-2631.943,-31583.316,,33416.682,-0.5141028158185482,Requalification cost for ACV
2024_698_242_7311_20231004,2024,698,242,7311,Related project expenses (RPE),-47571.408,-62571.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,62571.408,-1,FC7+5 for Shift-by-wire (EV) Electronics
2024_698_242_7311_20231004,2024,698,242,7311,Others (remaining),-13931.54,-36104.092,-1619.96,-1959.96,-1619.96,-1619.96,-1819.96,-3435.448,-1619.96,-1819.96,-1619.96,-1819.96,-1619.96,-1619.96,-22195.008,-535050.0,13909.083999999995,-0.3852495168691681,
2024_698_242_7311_20231004,2024,698,242,7311,Plant Originated PMME,-352807.321,-721747.7440000001,-25397.834,-27454.807,-25921.764,-22662.512,-24112.16,-26064.542999999998,-28981.471999999998,-25163.575999999997,-26615.353,-25048.891,-24868.601000000002,-25516.655,-307808.16799999995,-535050.0,413939.5760000001,-0.5735238931346076,
2024_698_242_7311_20231004,2024,698,242,7311,NSHS Allocations in PE MGK & PE FGK,-46949.467,-47835.451,-2638.569,-2638.569,-2638.569,-2638.569,-2638.569,-2638.569,-2638.569,-2638.569,-2638.569,-2638.569,-2638.569,-2638.569,-31662.828,-78300.0,16172.623,-0.33808864893946544,
2024_698_242_7311_20231004,2024,698,242,7311,NSHS Services in PE MGK & PE FGK,-17338.381,-30356.749,-1860.58,-1860.58,-1860.58,-1860.58,-1860.58,-1860.58,-1860.58,-1860.58,-1860.58,-1860.58,-1860.58,-1860.58,-22326.96,,8029.789000000001,-0.26451412830800825,
2024_698_242_7311_20231004,2024,698,242,7311,"Shared equipment ""K662x"" accounts",-36478.884,-72957.769,2391.122,2391.122,2391.122,2391.122,2391.122,2391.122,2391.122,2391.122,2391.122,2391.122,2391.122,2391.122,28693.464,,101651.23300000001,-1.3932886708747905,ACV production for CM CVS (OES)
2024_698_242_7311_20231004,2024,698,242,7311,PMME Depreciation intangible development assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,
2024_698_242_7311_20231004,2024,698,242,7311,PMME Depreciation w/o intangible,-25269.132,-53454.78,-3793.078,-3793.078,-3793.078,-3793.078,-3793.078,-3793.078,-3793.078,-7569.119,-7569.119,-7569.119,-7569.119,-7569.119,-64397.141,,-10942.361000000004,0.20470313412570418,Non-smart ACV line refurbishment 250 k EUR in 2024
2024_698_242_7311_20231004,2024,698,242,7311,PMME Others,-126035.86399999999,-204604.74899999998,-5901.105,-5901.105,-5901.105,-5901.105,-5901.105,-5901.105,-5901.105,-9677.145999999999,-9677.145999999999,-9677.145999999999,-9677.145999999999,-9677.145999999999,-89693.465,-78300.0,114911.28399999999,-0.5616256932530925,
2024_698_242_7311_20231004,2024,698,242,7311,Delta RACE vs. RACE CTL,0.0,0.4930000000167638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2024_698_242_7311_20231004,2024,698,242,7311,PMME Total,-478843.185,-926352.0,-31298.939,-33355.912,-31822.869,-28563.617000000002,-30013.265000000003,-31965.648,-34882.577,-34840.722,-36292.498999999996,-34726.037,-34545.746999999996,-35193.801,-397501.633,-613350.0,528850.3670000001,-0.5708956929979101,
2024_698_242_7311_20231004,2024,698,242,7311,Period expenses ICO,-103853.347,-152003.703,-8024.068,-8024.068,-8226.824,-8022.903,-8405.113,-7257.319,-8986.581,-8020.573,-6489.404,-8400.451,-8599.711,-6108.36,-94565.375,,57438.32800000001,-0.3778745311224425,
2024_698_242_7311_20231004,2024,698,242,7311,Compensation,-2260.868,-4069.5624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4069.5624,-1,1 HC move from PL EAC to PL DAC E
2024_698_242_7311_20231004,2024,698,242,7311,Assessment from Central Functions,-19993.712,-37300.154,-1126.1825833333335,-1126.1825833333335,-1126.1825833333335,-1126.1825833333335,-1126.1825833333335,-1126.1825833333335,-1126.1825833333335,-1126.1825833333335,-1126.1825833333335,-1126.1825833333335,-1126.1825833333335,-1126.1825833333335,-13514.191,,23785.963000000003,-0.6376907451910252,distribution keys for CF: 1.47% vs. 0.65% in 2024
2024_698_242_7311_20231004,2024,698,242,7311,NSHS Services in PE VK,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,
2024_698_242_7311_20231004,2024,698,242,7311,NSHS Allocations in PE VK,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,
2024_698_242_7311_20231004,2024,698,242,7311,Others (remaining),-1993.2870000000003,-3107.2435999999943,-51.34958333333331,-51.34958333333331,-51.34958333333331,-51.34958333333331,-51.34958333333331,-51.34958333333331,-51.34958333333331,-51.34958333333331,-51.34958333333331,-51.34958333333331,-51.34958333333331,-51.34958333333331,-616.1949999999997,,2491.0485999999946,-0.8016907975930819,
2024_698_242_7311_20231004,2024,698,242,7311,PE distribution,-24247.867,-44476.96,-1177.5321666666669,-1177.5321666666669,-1177.5321666666669,-1177.5321666666669,-1177.5321666666669,-1177.5321666666669,-1177.5321666666669,-1177.5321666666669,-1177.5321666666669,-1177.5321666666669,-1177.5321666666669,-1177.5321666666669,-14130.386,0.0,30346.574,-0.6822987452379838,
2024_698_242_7311_20231004,2024,698,242,7311,Sales & distribution expenses w/o PE distribution,-20027.54,-47539.577,-1750.988,-1750.988,-1750.988,-1750.988,-1750.988,-1750.988,-1750.988,-1750.988,-1750.988,-1750.988,-1750.988,-1750.988,-21011.856,,26527.720999999998,-0.5580134000771609,
2024_698_242_7311_20231004,2024,698,242,7311,"R, D & E  expenses",-481410.746,-1166506.263,-25246.956000000002,-25246.956000000002,-25246.956000000002,-25246.956000000002,-25246.956000000002,-25246.956000000002,-25246.956000000002,-25246.956000000002,-25246.956000000002,-25246.956000000002,-25246.956000000002,-25246.956000000002,-302963.472,,863542.791,-0.7402813155748997,
2024_698_242_7311_20231004,2024,698,242,7311,"Finance, general & administration expenses",-93182.444,-97744.121,-7395.4545,-7395.4545,-7395.4545,-7395.4545,-7395.4545,-7395.4545,-7395.4545,-7395.4545,-7395.4545,-7395.4545,-7395.4545,-7395.4545,-88745.454,,8998.667000000001,-0.0920635114208046,
2024_698_242_7311_20231004,2024,698,242,7311,Total Period Expenses,-1201565.129,-2434622.624,-74893.93766666666,-76950.91066666666,-75620.62366666665,-72157.45066666667,-73989.30866666668,-74793.89766666666,-79440.08866666665,-78432.22566666667,-78352.83366666667,-78697.41866666666,-78716.38866666667,-76873.09166666667,-918918.1760000001,-613350.0,1515704.4479999999,-0.6225623770429565,
2024_698_242_7311_20231004,2024,698,242,7311,Plant Orignated PMME,-352807.321,-721747.7440000001,-25397.834,-27454.807,-25921.764,-22662.512,-24112.16,-26064.542999999998,-28981.471999999998,-25163.575999999997,-26615.353,-25048.891,-24868.601000000002,-25516.655,-307808.16799999995,-535050.0,413939.5760000001,-0.5735238931346076,
2024_698_242_7311_20231004,2024,698,242,7311,% of Total Sales,-0.11297034564410177,-0.1265708186530249,-0.10599374065268842,-0.120695422768331,-0.10327542247351183,-0.0979030768303887,-0.09693451261232779,-0.1211458046067921,-0.10609264921883388,-0.10507949886189726,-0.13531525412650636,-0.10416939430325882,-0.09569401315850157,-0.13175028350677495,-0.10927548256015114,0.0,-0.1434543454168534,,
2024_698_242_7311_20231004,2024,698,242,7311,"PMME others (Depr, NPF, SHS)",-126035.86399999999,-204604.74899999998,-5901.105,-5901.105,-5901.105,-5901.105,-5901.105,-5901.105,-5901.105,-9677.145999999999,-9677.145999999999,-9677.145999999999,-9677.145999999999,-9677.145999999999,-89693.465,-78300.0,114911.28399999999,-0.5616256932530925,
2024_698_242_7311_20231004,2024,698,242,7311,% of Total Sales,-0.0403571985957542,-0.03588094427244469,-0.02462730455417115,-0.025942136937087624,-0.023510711382742046,-0.02549304049785791,-0.0237233303465625,-0.027427839931594575,-0.021602210638869784,-0.040410379355200296,-0.049199628132277795,-0.04024379512067835,-0.03723751636293254,-0.04996606056069862,-0.031842224116570644,0.0,-0.03982350077884346,,
2024_698_242_7311_20231004,2024,698,242,7311,PMME Total,-478843.185,-926352.493,-31298.939,-33355.912,-31822.869,-28563.617,-30013.265,-31965.647999999997,-34882.577,-34840.721999999994,-36292.498999999996,-34726.037,-34545.747,-35193.801,-397501.6329999999,-613350.0,528850.8600000001,-0.5708959213650004,
2024_698_242_7311_20231004,2024,698,242,7311,% of Total Sales,-0.15332754423985598,-0.1624517629254696,-0.13062104520685958,-0.1466375597054186,-0.12678613385625387,-0.1233961173282466,-0.12065784295889027,-0.14857364453838667,-0.12769485985770365,-0.14548987821709755,-0.18451488225878412,-0.14441318942393716,-0.1329315295214341,-0.18171634406747358,-0.14111770667672177,0.0,-0.18327784619569684,,
2024_698_242_7311_20231004,2024,698,242,7311,CF assessments,-247730.165,-487142.706,-17229.799583333333,-17882.742583333336,-18254.948583333335,-16651.219583333335,-17251.902583333333,-18044.463583333334,-22130.373583333334,-18884.004583333335,-19207.858583333335,-18696.126583333335,-18123.291583333335,-19271.789583333335,-221628.52099999998,0.0,265514.18500000006,-0.5450439506324047,
2024_698_242_7311_20231004,2024,698,242,7311,% of Total Sales,-0.07932421098064563,-0.08542881028980373,-0.07190577387558453,-0.07861520120511693,-0.07272990862720556,-0.07193402170892425,-0.0693552451771544,-0.08386914972961067,-0.08101279195405711,-0.07885690563703816,-0.09765477337196116,-0.07775051526244771,-0.06973816111533016,-0.09950613594482033,-0.07868070473479961,0.0,-0.09201624057339304,,
2024_698_242_7311_20231004,2024,698,242,7311,Check vs Race entry,0.0,-0.4930000000167638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2024_698_242_7322_20231004,2024,698,242,7322,Sales,0.0,0.0,450362.504,463230.007,522420.5,604772.496,643375.005,643375.005,643375.005,591904.993,656242.494,669109.997,669109.997,669109.994,7226387.997,0.0,7226387.997,0,
2024_698_242_7322_20231004,2024,698,242,7322,Assessment from Central Functions (520),0.0,0.0,-20037.097,-20404.772,-20581.758,-18741.671,-19514.302,-20297.909,-25843.734,-22713.931,-22010.008,-21825.726,-21187.765,-22577.341,-255736.014,,-255736.014,0,distribution keys for CF: 0% vs. 0.88% in 2024
2024_698_242_7322_20231004,2024,698,242,7322,Assessment from FF (520),0.0,0.0,-1436.208,-1523.188,-1458.654,-1333.99,-1358.295,-1491.945,-1805.037,-1520.572,-1639.056,-1496.034,-1519.401,-1551.06,-18133.44,,-18133.44,0,QMPP HC pooling
2024_698_242_7322_20231004,2024,698,242,7322,Compensation (E01-299),0.0,0.0,-1862.47,-1597.779,-1103.386,-604.393,-810.412,-601.866,-684.644,-548.057,-1522.967,-582.857,-770.466,-590.231,-11279.528,,-11279.528,0,fix portion of variable headcount
2024_698_242_7322_20231004,2024,698,242,7322,Maintenance (E01-320),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,
2024_698_242_7322_20231004,2024,698,242,7322,Product Validation / Requalification after G60,0.0,0.0,-8333.333,-8333.333,-8333.333,-8333.333,-8333.333,-8333.333,-8333.333,-8333.333,-8333.333,-8333.333,-8333.333,-8333.337,-100000.0,,-100000.0,0,SBW new backend line in PL DAC E
2024_698_242_7322_20231004,2024,698,242,7322,Related project expenses (RPE),0.0,0.0,-10271.0,-10271.0,-10271.0,-10271.0,-10271.0,-10271.0,-10271.0,-10271.0,-10271.0,-10271.0,-10271.0,-10269.0,-123250.0,,-123250.0,0,SBW new backend line in PL DAC E
2024_698_242_7322_20231004,2024,698,242,7322,Others (remaining),0.0,0.0,-961.768,-961.768,-973.436,-1375.555,-1375.555,-1575.555,-1375.555,-1375.555,-1575.555,-1375.555,-1375.555,-1375.555,-15676.967,-1073000.0,-15676.967,0,
2024_698_242_7322_20231004,2024,698,242,7322,Plant Originated PMME,0.0,0.0,-42901.876000000004,-43091.84,-42721.567,-40659.942,-41662.897000000004,-42571.608,-48313.303,-44762.448000000004,-45351.919,-43884.505,-43457.520000000004,-44696.524,-524075.94899999996,-1073000.0,-524075.94899999996,0,
2024_698_242_7322_20231004,2024,698,242,7322,NSHS Allocations in PE MGK & PE FGK,0.0,0.0,-6666.451,-6666.451,-6666.451,-6666.451,-6666.451,-6666.451,-6666.451,-6666.451,-6666.451,-6666.451,-6666.451,-6666.451,-79997.412,,-79997.412,0,
2024_698_242_7322_20231004,2024,698,242,7322,NSHS Services in PE MGK & PE FGK,0.0,0.0,-4700.83,-4700.83,-4700.83,-4700.83,-4700.83,-4700.83,-4700.83,-4700.83,-4700.83,-4700.83,-4700.83,-4700.83,-56409.96,,-56409.96,0,
2024_698_242_7322_20231004,2024,698,242,7322,"Shared equipment ""K662x"" accounts",0.0,0.0,-13056.219,-13056.219,-13056.219,-13056.219,-13056.219,-13056.219,-13056.219,-13056.219,-13056.219,-13056.219,-13056.219,-13056.219,-156674.628,,-156674.628,0,SMD process in PL DTC
2024_698_242_7322_20231004,2024,698,242,7322,PMME Depreciation intangible development assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,
2024_698_242_7322_20231004,2024,698,242,7322,PMME Depreciation w/o intangible,0.0,0.0,-18223.884,-18223.884,-18223.884,-18223.884,-18223.884,-18223.884,-18223.884,-18223.884,-18223.884,-18223.884,-18979.093,-18979.093,-220197.026,,-220197.026,0,SBW line 1.2 mio EUR by Jan.2024 (useful 8 years)
2024_698_242_7322_20231004,2024,698,242,7322,PMME Others,0.0,0.0,-42647.384,-42647.384,-42647.384,-42647.384,-42647.384,-42647.384,-42647.384,-42647.384,-42647.384,-42647.384,-43402.593,-43402.593,-513279.026,0.0,-513279.026,0,
2024_698_242_7322_20231004,2024,698,242,7322,Delta RACE vs. RACE CTL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2024_698_242_7322_20231004,2024,698,242,7322,PMME Total,0.0,0.0,-85549.26,-85739.224,-85368.95099999999,-83307.326,-84310.281,-85218.992,-90960.687,-87409.832,-87999.30300000001,-86531.889,-86860.113,-88099.117,-1037354.975,-1073000.0,-1037354.975,0,
2024_698_242_7322_20231004,2024,698,242,7322,Period expenses ICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,
2024_698_242_7322_20231004,2024,698,242,7322,Compensation,,,-263.51,-69.345,-69.345,-69.345,-69.345,-69.345,-69.345,-69.345,-263.51,-69.345,-69.345,-69.345,-1220.4700000000003,,-1220.4700000000003,0,fix portion of variable headcount
2024_698_242_7322_20231004,2024,698,242,7322,Assessment from Central Functions,,,-3719.568,-3217.082,-3218.514,-3015.243,-3177.192,-3087.777,-3979.172,-3489.454,-3281.879,-3141.499,-3200.614,-3227.707,-39755.70100000001,,-39755.70100000001,0,distribution keys for CF: 0% vs. 0.88% in 2024
2024_698_242_7322_20231004,2024,698,242,7322,NSHS Services in PE VK,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,
2024_698_242_7322_20231004,2024,698,242,7322,NSHS Allocations in PE VK,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,
2024_698_242_7322_20231004,2024,698,242,7322,Others (remaining),0.0,0.0,-343.04166666666606,-343.04166666666606,-343.04166666666606,-343.04166666666606,-343.04166666666606,-343.04166666666606,-343.04166666666606,-343.04166666666606,-343.04166666666606,-343.04166666666606,-343.04166666666606,-343.04166666666606,-4116.499999999993,,-4116.499999999993,0,
2024_698_242_7322_20231004,2024,698,242,7322,PE distribution,0.0,0.0,-4326.1196666666665,-3629.4686666666657,-3630.900666666666,-3427.629666666666,-3589.578666666666,-3500.163666666666,-4391.558666666666,-3901.840666666666,-3888.430666666666,-3553.8856666666657,-3613.000666666666,-3640.0936666666657,-45092.671,0.0,-45092.671,0,
2024_698_242_7322_20231004,2024,698,242,7322,Sales & distribution expenses w/o PE distribution,0.0,0.0,-5523.179,-5523.179,-5523.179,-5523.179,-5523.179,-5523.179,-5523.179,-5523.179,-5523.179,-5523.179,-5523.179,-5523.179,-66278.148,,-66278.148,0,
